district_name,region_name,dominant_region_electors
Albert Park,Southern Metropolitan,49372
Ashwood,Southern Metropolitan,52400
Bass,Eastern Victoria,55392
Bayswater,North-Eastern Metropolitan,50745
Bellarine,Western Victoria,58183
Benambra,Northern Victoria,51128
Bendigo East,Northern Victoria,54814
Bendigo West,Northern Victoria,49055
Bentleigh,Southern Metropolitan,53746
Berwick,South-Eastern Metropolitan,62556
Box Hill,North-Eastern Metropolitan,51178
Brighton,Southern Metropolitan,49778
Broadmeadows,Northern Metropolitan,50401
Brunswick,Northern Metropolitan,55156
Bulleen,North-Eastern Metropolitan,50305
Bundoora,North-Eastern Metropolitan,48298
Carrum,South-Eastern Metropolitan,53692
Caulfield,Southern Metropolitan,49798
Clarinda,South-Eastern Metropolitan,48958
Cranbourne,South-Eastern Metropolitan,56649
Croydon,North-Eastern Metropolitan,54613
Dandenong,South-Eastern Metropolitan,52259
Eildon,Northern Victoria,50891
Eltham,North-Eastern Metropolitan,49841
Essendon,Northern Metropolitan,52169
Eureka,Western Victoria,56707
Euroa,Northern Victoria,52115
Evelyn,Eastern Victoria,52191
Footscray,Western Metropolitan,50697
Frankston,South-Eastern Metropolitan,50238
Geelong,Western Victoria,52851
Gippsland East,Eastern Victoria,50775
Gippsland South,Eastern Victoria,50083
Glen Waverley,North-Eastern Metropolitan,50247
Greenvale,Northern Metropolitan,54066
Hastings,Eastern Victoria,50079
Hawthorn,Southern Metropolitan,51004
Ivanhoe,North-Eastern Metropolitan,49155
Kalkallo,Northern Metropolitan,65072
Kew,Southern Metropolitan,50335
Kororoit,Western Metropolitan,58754
Lara,Western Victoria,50502
Laverton,Western Metropolitan,53657
Lowan,Western Victoria,50851
Macedon,Northern Victoria,50105
Malvern,Southern Metropolitan,48163
Melbourne,Northern Metropolitan,54526
Melton,Western Victoria,57662
Mildura,Northern Victoria,48187
Mill Park,North-Eastern Metropolitan,47517
Monbulk,Eastern Victoria,49195
Mordialloc,South-Eastern Metropolitan,53004
Mornington,Eastern Victoria,49314
Morwell,Eastern Victoria,54486
Mulgrave,South-Eastern Metropolitan,47143
Murray Plains,Northern Victoria,48102
Narracan,Eastern Victoria,53190
Narre Warren North,South-Eastern Metropolitan,52684
Narre Warren South,South-Eastern Metropolitan,56088
Nepean,Eastern Victoria,50580
Niddrie,Western Metropolitan,51791
Northcote,Northern Metropolitan,52715
Oakleigh,Southern Metropolitan,53129
Ovens Valley,Northern Victoria,48925
Pakenham,Eastern Victoria,53184
Pascoe Vale,Northern Metropolitan,50930
Point Cook,Western Metropolitan,53873
Polwarth,Western Victoria,54236
Prahran,Southern Metropolitan,48485
Preston,Northern Metropolitan,52453
Richmond,Northern Metropolitan,49191
Ringwood,North-Eastern Metropolitan,53863
Ripon,Western Victoria,53314
Rowville,South-Eastern Metropolitan,49999
Sandringham,Southern Metropolitan,48159
Shepparton,Northern Victoria,51500
South Barwon,Western Victoria,58349
South-West Coast,Western Victoria,53709
St Albans,Western Metropolitan,47168
Sunbury,Western Metropolitan,49700
Sydenham,Western Metropolitan,61604
Tarneit,Western Metropolitan,56557
Thomastown,Northern Metropolitan,53206
Warrandyte,North-Eastern Metropolitan,51351
Wendouree,Western Victoria,52321
Werribee,Western Metropolitan,59071
Williamstown,Western Metropolitan,49082
Yan Yean,Northern Victoria,54231
