district_id,district_name,region_name,likely_final_pair,final_pair_probability,win_alp,primary_alp,win_lib_nat,primary_lib_nat,win_onp,primary_onp,win_grn,primary_grn,win_oth_ind,primary_oth_ind,favoured_party,favoured_probability
albert-park,Albert Park,Southern Metropolitan,ALP–LIB_NAT,0.6632,0.7494,27.657388650466068,0.1976,26.858103781809394,0.0,9.876894144005968,0.053,28.15191104328891,0.0,7.4557023804295754,ALP,0.7494
ashwood,Ashwood,Southern Metropolitan,ALP–LIB_NAT,0.8828,0.8828,31.115530354900432,0.1172,33.949610501063205,0.0,8.471630938441182,0.0,16.79171831178555,0.0,9.67150989380964,ALP,0.8828
bass,Bass,Eastern Victoria,ONP–ALP,0.5598,0.0422,21.073797797731565,0.385,26.341668139601587,0.5728,30.83587025832535,0.0,10.73284643907602,0.0,11.015817365265326,ONP,0.5728
bayswater,Bayswater,North-Eastern Metropolitan,LIB_NAT–ALP,0.6036,0.3884,26.47627759850184,0.6046,31.42697736251709,0.007,20.401110540870533,0.0,14.002012403929806,0.0,7.693622094180766,LIB_NAT,0.6046
bellarine,Bellarine,Western Victoria,ALP–LIB_NAT,0.7468,0.7522,30.039935000657376,0.2478,30.199715927968285,0.0,16.483873628739925,0.0,15.305334392914215,0.0,7.971141049720256,ALP,0.7522
benambra,Benambra,Northern Victoria,LIB_NAT–ONP,0.5058,0.0,11.91655984675622,0.557,28.98409597115352,0.4428,32.16496161344089,0.0,5.367211170091325,0.0002,21.567171398557903,LIB_NAT,0.557
bendigo-east,Bendigo East,Northern Victoria,ONP–ALP,0.488,0.5006,30.96577760497883,0.0114,20.8793035488459,0.488,31.889054688872836,0.0,9.995842917767828,0.0,6.270021239534648,ALP,0.5006
bendigo-west,Bendigo West,Northern Victoria,ALP–ONP,0.6062,0.6192,28.85547769477376,0.0032,18.447078532938978,0.3776,30.562154394858236,0.0,13.016206807541167,0.0,9.119082569887786,ALP,0.6192
bentleigh,Bentleigh,Southern Metropolitan,ALP–LIB_NAT,0.5346,0.5462,26.84152560523103,0.4506,29.049119519926,0.0032,17.220726390720674,0.0,13.488768192969003,0.0,13.399860291153361,ALP,0.5462
berwick,Berwick,South-Eastern Metropolitan,LIB_NAT–ALP,0.819,0.0796,24.047320564506727,0.87,34.02787150245704,0.0504,24.617598952754317,0.0,11.13248578527812,0.0,6.174723195003697,LIB_NAT,0.87
box-hill,Box Hill,North-Eastern Metropolitan,ALP–LIB_NAT,0.828,0.8282,29.282843319815232,0.1718,32.971591440509485,0.0,9.853375317016363,0.0,15.949711828071205,0.0,11.94247809458782,ALP,0.8282
brighton,Brighton,Southern Metropolitan,LIB_NAT–ALP,0.5904,0.2496,19.407839225662613,0.7502,39.59230559568485,0.0,8.506246777967469,0.0002,19.353001380854387,0.0,13.14060701983065,LIB_NAT,0.7502
broadmeadows,Broadmeadows,Northern Metropolitan,ALP–ONP,0.604,0.6288,30.495082810769308,0.0092,18.045472991146827,0.362,27.916225564095456,0.0,10.660463167212997,0.0,12.882755466775611,ALP,0.6288
brunswick,Brunswick,Northern Metropolitan,GRN–ALP,0.9334,0.0218,19.005901307615776,0.0,9.141588087778626,0.0,9.404877348379374,0.9782,53.41747341239507,0.0,9.030159843831143,GRN,0.9782
bulleen,Bulleen,North-Eastern Metropolitan,LIB_NAT–ALP,0.8824,0.1168,25.068554606621312,0.8832,38.89403620308585,0.0,16.023161313750833,0.0,13.856307024247528,0.0,6.157940852294487,LIB_NAT,0.8832
bundoora,Bundoora,North-Eastern Metropolitan,ALP–ONP,0.5696,0.9486,31.738822647679804,0.025,21.610843062727856,0.0264,23.371155962045815,0.0,16.05157551570406,0.0,7.227602811842558,ALP,0.9486
carrum,Carrum,South-Eastern Metropolitan,ALP–LIB_NAT,0.6324,0.8346,35.08927316942086,0.1402,25.54997069530236,0.0252,21.519071182622117,0.0,9.35085322917305,0.0,8.490831723481607,ALP,0.8346
caulfield,Caulfield,Southern Metropolitan,ALP–LIB_NAT,0.8224,0.8242,24.158135623368917,0.1728,31.582761318799474,0.0,9.412693203619233,0.003,22.1214733015753,0.0,12.724936552637056,ALP,0.8242
clarinda,Clarinda,South-Eastern Metropolitan,ALP–LIB_NAT,0.6762,0.8472,33.978272049063534,0.1332,24.51567189623104,0.0196,19.777870657713127,0.0,10.231648414778915,0.0,11.496536982213344,ALP,0.8472
cranbourne,Cranbourne,South-Eastern Metropolitan,ONP–ALP,0.5922,0.34,30.652955844621765,0.0674,21.926994402964183,0.5926,28.999417455965332,0.0,6.351397391982845,0.0,12.069234904465858,ONP,0.5926
croydon,Croydon,North-Eastern Metropolitan,LIB_NAT–ALP,0.6282,0.3694,25.960963019999333,0.6294,32.54559170649646,0.0012,17.9897925719784,0.0,14.260945746296821,0.0,9.24270695522907,LIB_NAT,0.6294
dandenong,Dandenong,South-Eastern Metropolitan,ALP–ONP,0.7782,0.9254,36.9578162842872,0.0094,19.785189997013163,0.0652,25.215342243894824,0.0,9.435623729792148,0.0,8.606027745012636,ALP,0.9254
eildon,Eildon,Northern Victoria,LIB_NAT–ALP,0.6386,0.017,18.847299976100864,0.8936,33.20383117079022,0.0894,26.495861487182225,0.0,12.500953166272314,0.0,8.952054199654446,LIB_NAT,0.8936
eltham,Eltham,North-Eastern Metropolitan,ALP–LIB_NAT,0.88,0.8948,29.85203045019647,0.105,27.56648935292284,0.0002,16.761960728863194,0.0,17.478319008322934,0.0,8.341200459694575,ALP,0.8948
essendon,Essendon,Northern Metropolitan,ALP–LIB_NAT,0.9858,0.9918,32.748382197724396,0.0082,25.29443526073008,0.0,13.34317327511185,0.0,19.849409863160012,0.0,8.76459940327362,ALP,0.9918
eureka,Eureka,Western Victoria,ALP–ONP,0.4496,0.619,27.641686407195493,0.1068,22.876690154219144,0.2742,26.641562632857447,0.0,12.956840826473137,0.0,9.883219979254893,ALP,0.619
euroa,Euroa,Northern Victoria,LIB_NAT–ONP,0.5794,0.0,16.906217787943973,0.5874,27.08205214746448,0.4126,35.182833587991375,0.0,6.467676170811091,0.0,14.361220305789214,LIB_NAT,0.5874
evelyn,Evelyn,Eastern Victoria,LIB_NAT–ALP,0.9362,0.046,23.10644169876567,0.9498,36.495257896876964,0.0042,20.580786817011028,0.0,11.34608084075198,0.0,8.471432746594433,LIB_NAT,0.9498
footscray,Footscray,Western Metropolitan,ALP–LIB_NAT,0.8848,0.9814,30.707913498326683,0.0156,21.88522657251388,0.0,14.878456734309854,0.003,23.89824482593142,0.0,8.63015836891823,ALP,0.9814
frankston,Frankston,South-Eastern Metropolitan,ALP–LIB_NAT,0.7354,0.7684,31.20740013510619,0.2296,27.587218404098724,0.002,18.245041506567503,0.0,12.593425196660307,0.0,10.366914757567274,ALP,0.7684
geelong,Geelong,Western Victoria,ALP–LIB_NAT,0.5768,0.8992,29.35637830181837,0.0734,23.476385424376645,0.0274,21.932304224640788,0.0,16.05929216122833,0.0,9.175639887935857,ALP,0.8992
gippsland-east,Gippsland East,Eastern Victoria,LIB_NAT–ONP,0.7442,0.0,10.402510004617902,0.7442,37.632182473312774,0.2558,39.6124305020591,0.0,5.988823423545199,0.0,6.364053596465001,LIB_NAT,0.7442
gippsland-south,Gippsland South,Eastern Victoria,LIB_NAT–ONP,0.6754,0.0,13.66343094940668,0.6758,32.24049128977135,0.3242,38.794619174945275,0.0,7.760750454662135,0.0,7.5407081312147355,LIB_NAT,0.6758
glen-waverley,Glen Waverley,North-Eastern Metropolitan,ALP–LIB_NAT,0.7072,0.7072,31.793573380436367,0.2928,34.31867129342604,0.0,11.718708306408047,0.0,13.93910869096286,0.0,8.229938328766709,ALP,0.7072
greenvale,Greenvale,Northern Metropolitan,ONP–ALP,0.9686,0.0208,25.049469956267828,0.0052,17.54490862489881,0.974,38.114634137412985,0.0,5.981394492187764,0.0,13.309592789232688,ONP,0.974
hastings,Hastings,Eastern Victoria,LIB_NAT–ALP,0.6712,0.135,23.9760429969215,0.7344,29.80425094542809,0.1306,24.011501635101663,0.0,10.642131878398045,0.0,11.566072544150712,LIB_NAT,0.7344
hawthorn,Hawthorn,Southern Metropolitan,LIB_NAT–OTH_IND,0.9146,0.0004,12.66058444898206,0.9946,41.5416644736084,0.0,8.883139482162125,0.0,11.150131476591168,0.005,25.764480118656145,LIB_NAT,0.9946
ivanhoe,Ivanhoe,North-Eastern Metropolitan,ALP–LIB_NAT,0.9788,0.9816,32.327753110020474,0.0184,26.60498456140256,0.0,13.549161289890979,0.0,18.560197048854686,0.0,8.957903989831348,ALP,0.9816
kalkallo,Kalkallo,Northern Metropolitan,ONP–ALP,0.8268,0.1726,31.481974703092707,0.0006,16.75455370934263,0.8268,36.64538349952547,0.0,5.61523941167456,0.0,9.502848676364653,ONP,0.8268
kew,Kew,Southern Metropolitan,LIB_NAT–OTH_IND,0.9032,0.0,13.409190219432995,1.0,42.70553066512676,0.0,8.921387510757842,0.0,9.880868977197354,0.0,25.08302262748494,LIB_NAT,1.0
kororoit,Kororoit,Western Metropolitan,ONP–ALP,0.9596,0.035,25.771030761647662,0.0024,17.22098655592945,0.9626,37.85912582843276,0.0,6.521766168133851,0.0,12.627090685856329,ONP,0.9626
lara,Lara,Western Victoria,ALP–ONP,0.7696,0.8556,32.025991434289246,0.0086,19.45250644228091,0.1358,27.159386592786973,0.0,13.004585717211734,0.0,8.357529813431205,ALP,0.8556
laverton,Laverton,Western Metropolitan,ALP–ONP,0.5904,0.9486,33.17377589202369,0.0214,19.654246295167958,0.03,21.134826922792442,0.0,12.359868773305998,0.0,13.677282116709844,ALP,0.9486
lowan,Lowan,Western Victoria,LIB_NAT–ONP,0.9808,0.0,13.585580278355676,0.987,40.57228832785631,0.013,30.21944533552046,0.0,5.835869741518337,0.0,9.786816316749077,LIB_NAT,0.987
macedon,Macedon,Northern Victoria,ALP–ONP,0.4048,0.5668,25.867045536708645,0.127,23.760620915925017,0.3062,27.645444395183432,0.0,15.498302672614065,0.0,7.22858647956882,ALP,0.5668
malvern,Malvern,Southern Metropolitan,LIB_NAT–ALP,0.486,0.1394,21.298246826783465,0.8606,43.38480576072317,0.0,7.982768915685097,0.0,22.691357933653993,0.0,4.6428205631544825,LIB_NAT,0.8606
melbourne,Melbourne,Northern Metropolitan,ALP–GRN,0.5266,0.533,25.006313735743824,0.02,19.026449966123472,0.0,7.255697012999815,0.447,40.354145029975655,0.0,8.357394255157107,ALP,0.533
melton,Melton,Western Victoria,ONP–ALP,0.7494,0.2,27.061801970670963,0.0496,21.132603128549242,0.7504,30.674808758711507,0.0,8.521682958828396,0.0,12.60910318323999,ONP,0.7504
mildura,Mildura,Northern Victoria,LIB_NAT–ONP,0.8068,0.0,14.416768202617192,0.808,32.60503020258923,0.192,35.48278425534322,0.0,6.204680860218056,0.0,11.290736479232386,LIB_NAT,0.808
mill-park,Mill Park,North-Eastern Metropolitan,ONP–ALP,0.8282,0.1702,29.536449294836352,0.0012,17.977177936052914,0.8286,35.7912528939426,0.0,7.6842040863548355,0.0,9.010915788813266,ONP,0.8286
monbulk,Monbulk,Eastern Victoria,LIB_NAT–ALP,0.494,0.4352,23.063144020512482,0.5108,27.735880267217244,0.054,21.585384674712774,0.0,15.829914568448405,0.0,11.785676469108958,LIB_NAT,0.5108
mordialloc,Mordialloc,South-Eastern Metropolitan,ALP–LIB_NAT,0.756,0.8128,30.652892250925074,0.1816,27.21904998887722,0.0056,19.09983025966765,0.0,14.010674942203263,0.0,9.0175525583269,ALP,0.8128
mornington,Mornington,Eastern Victoria,LIB_NAT–ALP,0.8952,0.1014,23.691115972953643,0.8978,35.17004490331952,0.0008,16.961240687959407,0.0,11.506700292164819,0.0,12.670898143602663,LIB_NAT,0.8978
morwell,Morwell,Eastern Victoria,ONP–LIB_NAT,0.5978,0.0,16.08766122217456,0.0734,23.79437569867005,0.9266,47.33950931987992,0.0,6.852471217356661,0.0,5.925982541918687,ONP,0.9266
mulgrave,Mulgrave,South-Eastern Metropolitan,ALP–ONP,0.7174,0.9764,38.41539071897711,0.0064,17.701938619718717,0.017,20.466229722820763,0.0,6.9496993661687965,0.0002,16.466741572314604,ALP,0.9764
murray-plains,Murray Plains,Northern Victoria,LIB_NAT–ONP,0.8986,0.0,11.572146518760409,0.8986,39.714588598814345,0.1014,35.536791107915086,0.0,3.396047110947971,0.0,9.780426663562029,LIB_NAT,0.8986
narracan,Narracan,Eastern Victoria,ONP–LIB_NAT,0.8548,0.0,5.482150358230119,0.135,28.79437891144006,0.865,40.641482397698056,0.0,10.033964820198452,0.0,15.048023512433323,ONP,0.865
narre-warren-north,Narre Warren North,South-Eastern Metropolitan,ONP–ALP,0.5084,0.3758,30.604422218092473,0.1152,23.48035069660483,0.509,28.82009184591118,0.0,7.64584457639476,0.0,9.449290662996653,ONP,0.509
narre-warren-south,Narre Warren South,South-Eastern Metropolitan,ONP–ALP,0.3962,0.4632,31.720800244025277,0.1404,24.114476697077198,0.3964,27.92029469115274,0.0,7.410392686870429,0.0,8.834035680874267,ALP,0.4632
