seats,probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0002
14,0.0
15,0.0002
16,0.0006
17,0.0002
18,0.0006
19,0.0014
20,0.0018
21,0.0018
22,0.003
23,0.0048
24,0.005
25,0.0068
26,0.0102
27,0.0142
28,0.0184
29,0.0214
30,0.024
31,0.0292
32,0.0322
33,0.0364
34,0.0414
35,0.049
36,0.0486
37,0.0518
38,0.059
39,0.0596
40,0.061
41,0.055
42,0.0546
43,0.044
44,0.044
45,0.0402
46,0.0316
47,0.0324
48,0.0262
49,0.022
50,0.0184
51,0.0128
52,0.009
53,0.0094
54,0.0058
55,0.006
56,0.0026
57,0.0018
58,0.0008
59,0.0
60,0.0006
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
