election_id,district_name,district_id,contest,party_family,contest_status,candidate_count,first_preference_votes,formal_votes,district_reconciled
vic_la_2014,Albert Park,albert-park,general-election,ALP,contested,1,11826,36576,True
vic_la_2014,Albert Park,albert-park,general-election,Coalition,contested,1,15177,36576,True
vic_la_2014,Albert Park,albert-park,general-election,Greens,contested,1,6134,36576,True
vic_la_2014,Albert Park,albert-park,general-election,One Nation,verified_no_contest,0,0,36576,True
vic_la_2014,Albert Park,albert-park,general-election,Other/Independent,contested,4,3439,36576,True
vic_la_2014,Altona,altona,general-election,ALP,contested,1,21862,42085,True
vic_la_2014,Altona,altona,general-election,Coalition,contested,1,13235,42085,True
vic_la_2014,Altona,altona,general-election,Greens,contested,1,4220,42085,True
vic_la_2014,Altona,altona,general-election,One Nation,verified_no_contest,0,0,42085,True
vic_la_2014,Altona,altona,general-election,Other/Independent,contested,3,2768,42085,True
vic_la_2014,Bass,bass,general-election,ALP,contested,1,11659,39713,True
vic_la_2014,Bass,bass,general-election,Coalition,contested,1,18008,39713,True
vic_la_2014,Bass,bass,general-election,Greens,contested,1,3613,39713,True
vic_la_2014,Bass,bass,general-election,One Nation,verified_no_contest,0,0,39713,True
vic_la_2014,Bass,bass,general-election,Other/Independent,contested,4,6433,39713,True
vic_la_2014,Bayswater,bayswater,general-election,ALP,contested,1,12927,38159,True
vic_la_2014,Bayswater,bayswater,general-election,Coalition,contested,1,18811,38159,True
vic_la_2014,Bayswater,bayswater,general-election,Greens,contested,1,3355,38159,True
vic_la_2014,Bayswater,bayswater,general-election,One Nation,verified_no_contest,0,0,38159,True
vic_la_2014,Bayswater,bayswater,general-election,Other/Independent,contested,4,3066,38159,True
vic_la_2014,Bellarine,bellarine,general-election,ALP,contested,1,16818,38611,True
vic_la_2014,Bellarine,bellarine,general-election,Coalition,contested,1,15678,38611,True
vic_la_2014,Bellarine,bellarine,general-election,Greens,contested,1,3639,38611,True
vic_la_2014,Bellarine,bellarine,general-election,One Nation,verified_no_contest,0,0,38611,True
vic_la_2014,Bellarine,bellarine,general-election,Other/Independent,contested,6,2476,38611,True
vic_la_2014,Benambra,benambra,general-election,ALP,contested,1,12273,39244,True
vic_la_2014,Benambra,benambra,general-election,Coalition,contested,1,21430,39244,True
vic_la_2014,Benambra,benambra,general-election,Greens,contested,1,3568,39244,True
vic_la_2014,Benambra,benambra,general-election,One Nation,verified_no_contest,0,0,39244,True
vic_la_2014,Benambra,benambra,general-election,Other/Independent,contested,1,1973,39244,True
vic_la_2014,Bendigo East,bendigo-east,general-election,ALP,contested,1,18651,40305,True
vic_la_2014,Bendigo East,bendigo-east,general-election,Coalition,contested,1,16492,40305,True
vic_la_2014,Bendigo East,bendigo-east,general-election,Greens,contested,1,2935,40305,True
vic_la_2014,Bendigo East,bendigo-east,general-election,One Nation,verified_no_contest,0,0,40305,True
vic_la_2014,Bendigo East,bendigo-east,general-election,Other/Independent,contested,3,2227,40305,True
vic_la_2014,Bendigo West,bendigo-west,general-election,ALP,contested,1,18247,38131,True
vic_la_2014,Bendigo West,bendigo-west,general-election,Coalition,contested,1,12328,38131,True
vic_la_2014,Bendigo West,bendigo-west,general-election,Greens,contested,1,4482,38131,True
vic_la_2014,Bendigo West,bendigo-west,general-election,One Nation,verified_no_contest,0,0,38131,True
vic_la_2014,Bendigo West,bendigo-west,general-election,Other/Independent,contested,3,3074,38131,True
vic_la_2014,Bentleigh,bentleigh,general-election,ALP,contested,1,14025,36330,True
vic_la_2014,Bentleigh,bentleigh,general-election,Coalition,contested,1,16669,36330,True
vic_la_2014,Bentleigh,bentleigh,general-election,Greens,contested,1,3842,36330,True
vic_la_2014,Bentleigh,bentleigh,general-election,One Nation,verified_no_contest,0,0,36330,True
vic_la_2014,Bentleigh,bentleigh,general-election,Other/Independent,contested,5,1794,36330,True
vic_la_2014,Box Hill,box-hill,general-election,ALP,contested,1,11964,39005,True
vic_la_2014,Box Hill,box-hill,general-election,Coalition,contested,1,19944,39005,True
vic_la_2014,Box Hill,box-hill,general-election,Greens,contested,1,5649,39005,True
vic_la_2014,Box Hill,box-hill,general-election,One Nation,verified_no_contest,0,0,39005,True
vic_la_2014,Box Hill,box-hill,general-election,Other/Independent,contested,2,1448,39005,True
vic_la_2014,Brighton,brighton,general-election,ALP,contested,1,8973,38087,True
vic_la_2014,Brighton,brighton,general-election,Coalition,contested,1,21145,38087,True
vic_la_2014,Brighton,brighton,general-election,Greens,contested,1,6619,38087,True
vic_la_2014,Brighton,brighton,general-election,One Nation,verified_no_contest,0,0,38087,True
vic_la_2014,Brighton,brighton,general-election,Other/Independent,contested,1,1350,38087,True
vic_la_2014,Broadmeadows,broadmeadows,general-election,ALP,contested,1,21584,33636,True
vic_la_2014,Broadmeadows,broadmeadows,general-election,Coalition,contested,1,5797,33636,True
vic_la_2014,Broadmeadows,broadmeadows,general-election,Greens,contested,1,1884,33636,True
vic_la_2014,Broadmeadows,broadmeadows,general-election,One Nation,verified_no_contest,0,0,33636,True
vic_la_2014,Broadmeadows,broadmeadows,general-election,Other/Independent,contested,3,4371,33636,True
vic_la_2014,Brunswick,brunswick,general-election,ALP,contested,1,15318,40358,True
vic_la_2014,Brunswick,brunswick,general-election,Coalition,contested,1,6554,40358,True
vic_la_2014,Brunswick,brunswick,general-election,Greens,contested,1,16001,40358,True
vic_la_2014,Brunswick,brunswick,general-election,One Nation,verified_no_contest,0,0,40358,True
vic_la_2014,Brunswick,brunswick,general-election,Other/Independent,contested,5,2485,40358,True
vic_la_2014,Bulleen,bulleen,general-election,ALP,contested,1,11859,39118,True
vic_la_2014,Bulleen,bulleen,general-election,Coalition,contested,1,21983,39118,True
vic_la_2014,Bulleen,bulleen,general-election,Greens,contested,1,3824,39118,True
vic_la_2014,Bulleen,bulleen,general-election,One Nation,verified_no_contest,0,0,39118,True
vic_la_2014,Bulleen,bulleen,general-election,Other/Independent,contested,1,1452,39118,True
vic_la_2014,Bundoora,bundoora,general-election,ALP,contested,1,18628,35380,True
vic_la_2014,Bundoora,bundoora,general-election,Coalition,contested,1,11822,35380,True
vic_la_2014,Bundoora,bundoora,general-election,Greens,contested,1,3592,35380,True
vic_la_2014,Bundoora,bundoora,general-election,One Nation,verified_no_contest,0,0,35380,True
vic_la_2014,Bundoora,bundoora,general-election,Other/Independent,contested,1,1338,35380,True
vic_la_2014,Buninyong,buninyong,general-election,ALP,contested,1,15984,36703,True
vic_la_2014,Buninyong,buninyong,general-election,Coalition,contested,2,15130,36703,True
vic_la_2014,Buninyong,buninyong,general-election,Greens,contested,1,4017,36703,True
vic_la_2014,Buninyong,buninyong,general-election,One Nation,verified_no_contest,0,0,36703,True
vic_la_2014,Buninyong,buninyong,general-election,Other/Independent,contested,2,1572,36703,True
vic_la_2014,Burwood,burwood,general-election,ALP,contested,1,12995,37761,True
vic_la_2014,Burwood,burwood,general-election,Coalition,contested,1,18902,37761,True
vic_la_2014,Burwood,burwood,general-election,Greens,contested,1,4904,37761,True
vic_la_2014,Burwood,burwood,general-election,One Nation,verified_no_contest,0,0,37761,True
vic_la_2014,Burwood,burwood,general-election,Other/Independent,contested,1,960,37761,True
vic_la_2014,Carrum,carrum,general-election,ALP,contested,1,16645,39425,True
