election_id,district_id,district_name,source_url,source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,outcome_table_kind,outcome_source_url,outcome_source_sha256,alp_won
vic_la_2018,albert-park,Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,ALP,"BOND, Andrew",LIBERAL,Coalition,14697,36.87,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,ALP,25161,63.13,ALP,Coalition-ALP,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,1
vic_la_2018,altona,Altona,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,ALP,"MARTINU, Christian",LIBERAL,Coalition,16607,35.43,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,ALP,30264,64.57,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,1
vic_la_2018,bass,Bass,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,"CRUGNALE, Jordan",AUSTRALIAN LABOR PARTY,ALP,"PAYNTER, Brian",LIBERAL,Coalition,23607,47.61,"CRUGNALE, Jordan",AUSTRALIAN LABOR PARTY,ALP,25982,52.39,ALP,Coalition-ALP,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,1
vic_la_2018,bayswater,Bayswater,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,d17010dd7e5938701ab1000d5a9d62bc22896b3077a16db8005858ff47b025a4,"TAYLOR, Jackson",AUSTRALIAN LABOR PARTY,ALP,"VICTORIA, Heidi",LIBERAL,Coalition,18915,49.61,"TAYLOR, Jackson",AUSTRALIAN LABOR PARTY,ALP,19211,50.39,ALP,Coalition-ALP,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,d17010dd7e5938701ab1000d5a9d62bc22896b3077a16db8005858ff47b025a4,1
vic_la_2018,bellarine,Bellarine,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,bba490fd8390b7ec722c83c98bd232c92c9875ae19a05a0775e2ad390822ddf7,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,ALP,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,ALP,22077,58.42330898698,"McKITERICK, Brian",LIBERAL,Coalition,15711,41.57669101302,ALP,ALP-Coalition,distribution-page-final-total,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbellarinedistrict.html,16374a992c3c660d12690bc40074fd82aff9696584111a398436d61e29a1801b,1
vic_la_2018,benambra,Benambra,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,"TILLEY, Bill",LIBERAL,Coalition,"HAWKINS, Jacqui",,Other/Independent,19703,47.55,"TILLEY, Bill",LIBERAL,Coalition,21732,52.45,Coalition,Other/Independent-Coalition,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,0
vic_la_2018,bendigo-east,Bendigo East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,ALP,"ELLIS, Ian",LIBERAL,Coalition,16332,37.89,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,ALP,26776,62.11,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,1
vic_la_2018,bendigo-west,Bendigo West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigowestdistrict.html,2535759a2cb8327ee844a44cb0353af4f17538d622df3be23338af0d68e09a0f,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,ALP,"FINN, Kevin",LIBERAL,Coalition,12349,31.45,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,ALP,26917,68.55,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigowestdistrict.html,2535759a2cb8327ee844a44cb0353af4f17538d622df3be23338af0d68e09a0f,1
vic_la_2018,bentleigh,Bentleigh,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bentleighdistrict.html,d057702ca840e27ffb5c69ff8df276db153728c04ce93486a78158234a59a202,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,ALP,"JUDAH, Asher",LIBERAL,Coalition,14031,38.08,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,ALP,22811,61.92,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bentleighdistrict.html,d057702ca840e27ffb5c69ff8df276db153728c04ce93486a78158234a59a202,1
vic_la_2018,box-hill,Box Hill,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/boxhilldistrict.html,1eeaae49b6ecec300995cb326fe4722edd53789ae58d9d3897dd5ce23e18c2a0,"HAMER, Paul",AUSTRALIAN LABOR PARTY,ALP,"CLARK, Robert",LIBERAL,Coalition,18369,47.9,"HAMER, Paul",AUSTRALIAN LABOR PARTY,ALP,19982,52.1,ALP,Coalition-ALP,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/boxhilldistrict.html,1eeaae49b6ecec300995cb326fe4722edd53789ae58d9d3897dd5ce23e18c2a0,1
