district_id,district_name,estimated_2018_alp_tpp_share,estimated_2018_coalition_tpp_share
albert-park,Albert Park,63.1,36.9
ashwood,Ashwood,52,48
bass,Bass,49.3,50.7
bayswater,Bayswater,49.4,50.6
bellarine,Bellarine,61.4,38.6
benambra,Benambra,47.4,52.6
bendigo-east,Bendigo East,62.1,37.9
bendigo-west,Bendigo West,68.6,31.4
bentleigh,Bentleigh,61.4,38.6
berwick,Berwick,48.7,51.3
box-hill,Box Hill,53.1,46.9
brighton,Brighton,49.5,50.5
broadmeadows,Broadmeadows,75.2,24.8
brunswick,Brunswick,48,52
bulleen,Bulleen,44.5,55.5
bundoora,Bundoora,66.2,33.8
carrum,Carrum,62,38
caulfield,Caulfield,50.2,49.8
clarinda,Clarinda,64.9,35.1
cranbourne,Cranbourne,59.3,40.7
croydon,Croydon,49,51
dandenong,Dandenong,73.1,26.9
eildon,Eildon,49,51
eltham,Eltham,58.8,41.2
essendon,Essendon,65.8,34.2
eureka,Eureka,59.6,40.4
euroa,Euroa,34.2,65.8
evelyn,Evelyn,48.2,51.8
footscray,Footscray,77.6,22.4
frankston,Frankston,60.2,39.8
geelong,Geelong,60.3,39.7
gippsland-east,Gippsland East,32.4,67.6
gippsland-south,Gippsland South,35.8,64.2
glen-waverley,Glen Waverley,49.1,50.9
greenvale,Greenvale,72,28
hastings,Hastings,50.01,49.99
hawthorn,Hawthorn,50.6,49.4
ivanhoe,Ivanhoe,62.3,37.7
kalkallo,Kalkallo,70.9,29.1
kew,Kew,45.3,54.7
kororoit,Kororoit,75.3,24.7
lara,Lara,69.1,30.9
laverton,Laverton,73.4,26.6
lowan,Lowan,28.9,71.1
macedon,Macedon,63.4,36.6
malvern,Malvern,44,56
melbourne,Melbourne,48.3,51.7
melton,Melton,55,45
mildura,Mildura,49.6,50.4
mill-park,Mill Park,74.9,25.1
monbulk,Monbulk,57.1,42.9
mordialloc,Mordialloc,63.4,36.6
mornington,Mornington,45,55
morwell,Morwell,54,46
mulgrave,Mulgrave,65.8,34.2
murray-plains,Murray Plains,26,74
narre-warren-north,Narre Warren North,60.4,39.6
narre-warren-south,Narre Warren South,60.4,39.6
nepean,Nepean,50.7,49.3
niddrie,Niddrie,62.5,37.5
northcote,Northcote,51.7,48.3
oakleigh,Oakleigh,66,34
ovens-valley,Ovens Valley,37.9,62.1
pakenham,Pakenham,52.2,47.8
pascoe-vale,Pascoe Vale,72.3,27.7
point-cook,Point Cook,62.8,37.2
polwarth,Polwarth,48,52
prahran,Prahran,58.2,41.8
preston,Preston,71.3,28.7
richmond,Richmond,55.8,44.2
ringwood,Ringwood,53.2,46.8
ripon,Ripon,52.8,47.2
rowville,Rowville,44.5,55.5
sandringham,Sandringham,49.6,50.4
shepparton,Shepparton,55.3,44.7
south-barwon,South Barwon,53,47
south-west-coast,South-West Coast,46.8,53.2
st-albans,St Albans,72.00,28.00
sunbury,Sunbury,64.5,35.5
sydenham,Sydenham,68.3,31.7
tarneit,Tarneit,67.9,32.1
thomastown,Thomastown,77.4,22.6
warrandyte,Warrandyte,46.2,53.8
wendouree,Wendouree,61,39
werribee,Werribee,59.1,40.9
williamstown,Williamstown,69.9,30.1
yan-yean,Yan Yean,66.9,33.1
