election_id,district_id,district_name,source_url,source_sha256,retrieved_sha256,outcome_source_url,outcome_source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,final_pair_available,final_pair_selection_rule,outcome_table_kind,alp_won
vic_la_2022,albert-park,Albert Park,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,df21184ea6f821babcc8b07a6e93276616662baabf746d23c094428da0377e9a,df21184ea6f821babcc8b07a6e93276616662baabf746d23c094428da0377e9a,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,df21184ea6f821babcc8b07a6e93276616662baabf746d23c094428da0377e9a,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,ALP,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,ALP,23916,61.15,"SHERSON, Lauren",Liberal,Coalition,15194,38.85,ALP,ALP-Coalition,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,ashwood,Ashwood,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,6e56be49c9d1a3c5b0987b80d10b8b15120ec66a07f41daaeb5a632563f7ac67,6e56be49c9d1a3c5b0987b80d10b8b15120ec66a07f41daaeb5a632563f7ac67,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,6e56be49c9d1a3c5b0987b80d10b8b15120ec66a07f41daaeb5a632563f7ac67,"FREGON, Matt",Australian Labor Party - Victorian Branch,ALP,"JUDAH, Asher",Liberal,Coalition,19604,43.85,"FREGON, Matt",Australian Labor Party - Victorian Branch,ALP,25106,56.15,ALP,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,bass,Bass,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,c75e68d3796f3e56681601d418f2b95af7fb19f3ca09efba50ddaed555d6c20b,c75e68d3796f3e56681601d418f2b95af7fb19f3ca09efba50ddaed555d6c20b,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,c75e68d3796f3e56681601d418f2b95af7fb19f3ca09efba50ddaed555d6c20b,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,ALP,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,ALP,20803,50.24,"BROWN, Aaron",Liberal,Coalition,20601,49.76,ALP,ALP-Coalition,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,bayswater,Bayswater,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,9f45a8f624ca21c95858c2f9ec697dde3f5663282b4526f7ec5afcd77bdb8b11,9f45a8f624ca21c95858c2f9ec697dde3f5663282b4526f7ec5afcd77bdb8b11,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,9f45a8f624ca21c95858c2f9ec697dde3f5663282b4526f7ec5afcd77bdb8b11,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,ALP,"WAKELING, Nick",Liberal,Coalition,19498,45.77,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,ALP,23101,54.23,ALP,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,bellarine,Bellarine,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,45ef7b0b567b8871a0f8a622a3d58abba8e091e9807e318eade90ba17f42ec5e,45ef7b0b567b8871a0f8a622a3d58abba8e091e9807e318eade90ba17f42ec5e,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,45ef7b0b567b8871a0f8a622a3d58abba8e091e9807e318eade90ba17f42ec5e,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,ALP,"GRIGAU, Donnie",Liberal,Coalition,19586,41.54,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,ALP,27567,58.46,ALP,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,benambra,Benambra,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,120b1a6243f1179cd8a168ba8ca4c8e2d966b26cf6e118c4ecfae52f0dd60ef7,120b1a6243f1179cd8a168ba8ca4c8e2d966b26cf6e118c4ecfae52f0dd60ef7,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,120b1a6243f1179cd8a168ba8ca4c8e2d966b26cf6e118c4ecfae52f0dd60ef7,"TILLEY, Bill",Liberal,Coalition,"HAWKINS, Jacqui",,Other/Independent,20179,49.06,"TILLEY, Bill",Liberal,Coalition,20956,50.94,Coalition,Other/Independent-Coalition,True,governed-vec-final-total-parser,results-after-distribution,0
vic_la_2022,bendigo-east,Bendigo East,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,1131aea0e95114f1e1580d08816b64e57babcdec1fbf4cffa8ad123599b3d7cd,1131aea0e95114f1e1580d08816b64e57babcdec1fbf4cffa8ad123599b3d7cd,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results/bendigo-east-results-distribution,3c59bf07006044c78beb9d2d3a49aed2f148cb7b5250c297a08235a723fc70ef,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,ALP,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,ALP,22802,62.9,"SCHADE, Darin",Liberal,Coalition,13450,37.1,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2022,bendigo-west,Bendigo West,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,b6ae58f161b9ce224c614739d9168848bcf7bd0e84be8eb7755113265ff955d9,b6ae58f161b9ce224c614739d9168848bcf7bd0e84be8eb7755113265ff955d9,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results/bendigo-west-results-distribution,658054adc8ea1b0730f874ebd0e980005df1b9cd6fd24be77d43504ded6be915,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,ALP,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,ALP,20396,60.65,"PRICE, Ken",Liberal,Coalition,13233,39.35,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2022,bentleigh,Bentleigh,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,9df9045a1945d68cd5ac24c79a91e79698e8d828235c22311d01c1a04e9f59a1,9df9045a1945d68cd5ac24c79a91e79698e8d828235c22311d01c1a04e9f59a1,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,9df9045a1945d68cd5ac24c79a91e79698e8d828235c22311d01c1a04e9f59a1,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,ALP,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,ALP,26188,58.04,"TAYLOR-HAYNES, Debbie",Liberal,Coalition,18932,41.96,ALP,ALP-Coalition,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,berwick,Berwick,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,30669170b2ae633a79b987544fc57f4eff38bdb5626f53455e0643a9b84ea709,30669170b2ae633a79b987544fc57f4eff38bdb5626f53455e0643a9b84ea709,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results/berwick-results-distribution,22f0ee55a727984eb68f69d536b4f94f6ff45d06799eebe8c96ffdc36b10e5a8,"BATTIN, Brad",Liberal,Coalition,"BATTIN, Brad",Liberal,Coalition,22192,57.35,"ZAVEER, Malik",Australian Labor Party - Victorian Branch,ALP,16503,42.65,Coalition,Coalition-ALP,True,governed-vec-final-total-parser,distribution-page-final-total,0
