Area No,geography_name,unnamed_2,unnamed_3,unnamed_4,enrolled_electors,Variance to Average (%),unnamed_7,Property Count,geography_type
1,Albert Park,,,,50126,-5.3655037003473804,,47905,district
2,Ashwood,,,,52636,-0.6267935357196802,,34089,district
3,Bass,,,,56665,6.979685848059198,,40088,district
4,Bayswater,,,,51051,-3.6191662890802037,,31738,district
5,Bellarine,,,,59036,11.4559734179127,,38471,district
6,Benambra,,,,51465,-2.837562301767102,,31268,district
7,Bendigo East,,,,55560,4.893520616221103,,33702,district
8,Bendigo West,,,,49375,-6.783340885062699,,32193,district
9,Bentleigh,,,,54230,2.382570608669375,,34056,district
10,Berwick,,,,64832,22.39842924029603,,35618,district
11,Box Hill,,,,51893,-2.029527261742933,,38579,district
12,Brighton,,,,50285,-5.065322458843075,,33564,district
13,Broadmeadows,,,,50951,-3.8079595227307252,,34450,district
14,Brunswick,,,,55523,4.823667119770435,,39095,district
15,Bulleen,,,,50678,-4.3233650505965855,,32268,district
16,Bundoora,,,,48597,-8.252152242863612,,29268,district
17,Carrum,,,,54087,2.1125962845491633,,31472,district
18,Caulfield,,,,50462,-4.731158435281686,,36225,district
19,Clarinda,,,,49224,-7.06841866787494,,28617,district
20,Cranbourne,,,,57490,8.537230025675889,,33315,district
21,Croydon,,,,54919,3.68335598852138,,32662,district
22,Dandenong,,,,53208,0.4531037607612052,,35667,district
23,Eildon,,,,51218,-3.3038815888838506,,31942,district
24,Eltham,,,,50090,-5.433469264461564,,26005,district
25,Essendon,,,,52942,-0.049086240749129505,,36311,district
26,Eureka,,,,57347,8.26725570155566,,34017,district
27,Euroa,,,,52614,-0.6683280471227772,,33854,district
28,Evelyn,,,,52620,-0.6570004531037558,,27283,district
29,Footscray,,,,51221,-3.29821779187434,,38060,district
30,Frankston,,,,50709,-4.26483914816492,,32551,district
31,Geelong,,,,53379,0.7759401903035905,,35469,district
32,Gippsland East,,,,51123,-3.4832351608518364,,35238,district
33,Gippsland South,,,,50497,-4.665080803503988,,34451,district
34,Glen Waverley,,,,50506,-4.648089412475456,,32287,district
35,Greenvale,,,,54770,3.402054070382128,,26314,district
36,Hastings,,,,50327,-4.986029300709852,,28744,district
37,Hawthorn,,,,51368,-3.0206917384080954,,35595,district
38,Ivanhoe,,,,49663,-6.23961637214923,,32231,district
39,Kalkallo,,,,67622,27.66576045914517,,38760,district
40,Kew,,,,50661,-4.355459900317165,,31999,district
41,Kororoit,,,,60398,14.027337260232617,,33891,district
42,Lara,,,,51186,-3.3642954236520017,,32238,district
43,Laverton,,,,54973,3.785304334692646,,38133,district
44,Lowan,,,,50823,-4.049614861803348,,35890,district
45,Macedon,,,,50744,-4.19876151638724,,30067,district
46,Malvern,,,,48547,-8.346548859688864,,34026,district
47,Melbourne,,,,55758,5.2673312188491215,,69143,district
48,Melton,,,,59057,11.495619996979313,,35967,district
49,Mildura,,,,48290,-8.831747470170667,,33839,district
50,Mill Park,,,,47973,-9.430222020842775,,25594,district
51,Monbulk,,,,49589,-6.379323365050604,,26736,district
52,Mordialloc,,,,53587,1.1686301162966266,,30470,district
53,Mornington,,,,49597,-6.364219906358557,,28475,district
54,Morwell,,,,54849,3.5512007249660202,,35609,district
55,Mulgrave,,,,47571,-10.189170820117816,,30181,district
56,Murray Plains,,,,48127,-9.139480441020988,,32024,district
57,Narracan,,,,54247,2.4146654583899725,,31167,district
58,Narre Warren North,,,,52899,-0.13026733121885628,,27879,district
59,Narre Warren South,,,,56323,6.334012988974482,,28877,district
60,Nepean,,,,51507,-2.7582691436338975,,43062,district
61,Niddrie,,,,52177,-1.4933544781755155,,29617,district
62,Northcote,,,,53147,0.33793988823439575,,34842,district
63,Oakleigh,,,,53665,1.315888838544015,,41239,district
64,Ovens Valley,,,,49162,-7.18547047273827,,32474,district
65,Pakenham,,,,54296,2.507174142878721,,32125,district
66,Pascoe Vale,,,,51498,-2.775260534662448,,33387,district
67,Point Cook,,,,54684,3.2396918894426743,,33898,district
68,Polwarth,,,,54656,3.186829784020556,,37483,district
69,Prahran,,,,48969,-7.549841413683734,,51637,district
70,Preston,,,,53020,0.09817248149825901,,36140,district
71,Richmond,,,,49383,-6.768237426370633,,41441,district
72,Ringwood,,,,54315,2.543044857272325,,35535,district
73,Ripon,,,,53943,1.8407340280924291,,34822,district
74,Rowville,,,,50227,-5.1748225343603735,,26946,district
75,Sandringham,,,,49046,-7.4044706237728315,,30413,district
76,Shepparton,,,,52097,-1.644389065095911,,34019,district
77,South Barwon,,,,59917,13.119241806373685,,35128,district
78,South-West Coast,,,,54038,2.020087600060415,,34935,district
79,St Albans,,,,47496,-10.330765745355693,,29121,district
80,Sunbury,,,,50639,-4.396994411720297,,29514,district
81,Sydenham,,,,63327,19.55709107385592,,32330,district
82,Tarneit,,,,58694,10.810300558827985,,36602,district
83,Thomastown,,,,54892,3.632381815435729,,32824,district
84,Warrandyte,,,,51527,-2.720510496903789,,28716,district
85,Wendouree,,,,52988,0.03775864673010801,,35124,district
86,Werribee,,,,60887,14.95053617278356,,38496,district
87,Williamstown,,,,49646,-6.2717112218698094,,32630,district
88,Yan Yean,,,,55862,5.463676181845639,,30600,district
