Area No,geography_name,unnamed_2,unnamed_3,unnamed_4,enrolled_electors,Variance to Average (%),unnamed_7,Property Count,geography_type
1,Albert Park,,,,50488,-5.133408493047718,,48031,district
2,Ashwood,,,,52766,-0.8530627583615206,,34129,district
3,Bass,,,,57158,7.3994738819992385,,40332,district
4,Bayswater,,,,51197,-3.8012025554303,,31783,district
5,Bellarine,,,,59268,11.3641488162345,,38570,district
6,Benambra,,,,51645,-2.959413754227735,,31345,district
7,Bendigo East,,,,55789,4.827132656895901,,33815,district
8,Bendigo West,,,,49445,-7.093198045847421,,32237,district
9,Bentleigh,,,,54482,2.3712889891018314,,34109,district
10,Berwick,,,,65635,23.327696354753844,,35943,district
11,Box Hill,,,,52151,-2.0086433671552,,38674,district
12,Brighton,,,,50457,-5.19165727170237,,33618,district
13,Broadmeadows,,,,51190,-3.8143555054490754,,34517,district
14,Brunswick,,,,55751,4.755730928222474,,39194,district
15,Bulleen,,,,50852,-4.449455092070639,,32306,district
16,Bundoora,,,,48719,-8.457346862081922,,29298,district
17,Carrum,,,,54182,1.8075911311536947,,31500,district
18,Caulfield,,,,50730,-4.67869222096957,,36275,district
19,Clarinda,,,,49302,-7.361894024802714,,28639,district
20,Cranbourne,,,,57951,8.889515219842178,,33427,district
21,Croydon,,,,55065,3.4667418263810577,,32707,district
22,Dandenong,,,,53731,0.9601653513716701,,35746,district
23,Eildon,,,,51387,-3.444193912063129,,31975,district
24,Eltham,,,,50164,-5.742202179631713,,26020,district
25,Essendon,,,,53259,0.07328072153324683,,36403,district
26,Eureka,,,,57541,8.11912814731304,,34092,district
27,Euroa,,,,52751,-0.8812476512589273,,33936,district
28,Evelyn,,,,52822,-0.7478391582111908,,27320,district
29,Footscray,,,,51358,-3.4986847049981225,,38138,district
30,Frankston,,,,50897,-4.364900413378437,,32575,district
31,Geelong,,,,53596,0.7065013152949905,,35538,district
32,Gippsland East,,,,51367,-3.481773769259671,,35331,district
33,Gippsland South,,,,50681,-4.770762871101088,,34523,district
34,Glen Waverley,,,,50605,-4.91356632844796,,32303,district
35,Greenvale,,,,55119,3.5682074408117295,,26413,district
36,Hastings,,,,50490,-5.12965050732806,,28779,district
37,Hawthorn,,,,51502,-3.2281097331830098,,35646,district
38,Ivanhoe,,,,49795,-6.435550544907929,,32302,district
39,Kalkallo,,,,68679,29.047350620067665,,39229,district
40,Kew,,,,50826,-4.498308906426173,,32028,district
41,Kororoit,,,,60816,14.272829763246918,,34123,district
42,Lara,,,,51373,-3.470499812100716,,32323,district
43,Laverton,,,,55378,4.0548665915069435,,38275,district
44,Lowan,,,,50877,-4.40248027057496,,35921,district
45,Macedon,,,,50980,-4.2089440060127705,,30153,district
46,Malvern,,,,48672,-8.5456595264938,,34077,district
47,Melbourne,,,,56327,5.838030815482889,,69499,district
48,Melton,,,,59471,11.745584366779404,,36208,district
49,Mildura,,,,48364,-9.124389327320568,,33887,district
50,Mill Park,,,,48149,-9.528372792183381,,25643,district
51,Monbulk,,,,49757,-6.506952273581355,,26751,district
52,Mordialloc,,,,53763,1.0202931228861416,,30514,district
53,Mornington,,,,49721,-6.574596016535143,,28500,district
54,Morwell,,,,55014,3.370913190529882,,35679,district
55,Mulgrave,,,,47783,-10.216084178880118,,30228,district
56,Murray Plains,,,,48198,-9.436302142051863,,32069,district
57,Narracan,,,,54562,2.5216084178880194,,31290,district
58,Narre Warren North,,,,53085,-0.25366403607666144,,27903,district
59,Narre Warren South,,,,56645,6.435550544907929,,28902,district
60,Nepean,,,,51538,-3.1604659902292407,,43149,district
61,Niddrie,,,,52224,-1.871476888387806,,29656,district
62,Northcote,,,,53364,0.2705749718151128,,34898,district
63,Oakleigh,,,,53877,1.2344983089064225,,41288,district
64,Ovens Valley,,,,49293,-7.378804960541147,,32547,district
65,Pakenham,,,,54881,3.12100714017286,,32322,district
66,Pascoe Vale,,,,51700,-2.856069146937243,,33449,district
67,Point Cook,,,,55088,3.5099586621570777,,33954,district
68,Polwarth,,,,54763,2.8992859827132635,,37555,district
69,Prahran,,,,49193,-7.566704246523877,,51743,district
70,Preston,,,,53194,-0.04885381435549789,,36188,district
71,Richmond,,,,49523,-6.946636602780909,,41494,district
72,Ringwood,,,,54473,2.3543780533633982,,35566,district
73,Ripon,,,,54114,1.679819616685454,,34927,district
74,Rowville,,,,50344,-5.403983464862831,,26984,district
75,Sandringham,,,,49299,-7.367531003382192,,30486,district
76,Shepparton,,,,52325,-1.681698609545274,,34097,district
77,South Barwon,,,,60309,13.320180383314545,,35352,district
78,South-West Coast,,,,54209,1.8583239383690489,,34989,district
79,St Albans,,,,47610,-10.541149943630208,,29172,district
80,Sunbury,,,,51005,-4.161969184517111,,29712,district
81,Sydenham,,,,63850,19.97369409996241,,32584,district
82,Tarneit,,,,59482,11.766253288237513,,36893,district
83,Thomastown,,,,55351,4.004133784291626,,33052,district
84,Warrandyte,,,,51699,-2.857948139797063,,28730,district
85,Wendouree,,,,53148,-0.1352874859075564,,35192,district
86,Werribee,,,,61589,15.725291243893261,,38815,district
87,Williamstown,,,,49909,-6.221345358887629,,32705,district
88,Yan Yean,,,,56321,5.826756858323933,,30822,district
